1,2,3,4,5,6,7,8,9,10,11,12
LT,74,"Miller, Kolton 18/1",75,"Parker, Brandon 18/3",70,"YOUNG, SAM SF20",,,,,LV
LG,64,"INCOGNITO, RICHIE SF19",62,"Magnuson, Erik P/Buf",67,"Cotton, Lester CF19",,,,,LV
C,61,"HUDSON, RODNEY U/KC",68,"James, Andre CF19",65,"DEVEY, JORDAN U/KC",,,,,LV
RG,66,"Jackson, Gabe 14/3",76,"Simpson, John 20/4",69,"KUSH, ERIC SF20",63,"Seymour, Kamaal CF20",,,LV
RT,77,"Brown, Trent U/NE",72,"Sharpe, David W/Hou",71,"Good, Denzelle W/Ind",,,,,LV
TE,83,"Waller, Darren P/Bal",87,"Moreau, Foster 19/4",86,"Butler, Paul W/Det",,,,,LV
TE,82,"WITTEN, JASON U/Dal",85,"Carrier, Derek U/LAR",49,"Bowers, Nick CF20",,,,,LV
QB,4,"Carr, Derek 14/2",8,"Mariota, Marcus U/Ten",3,"Peterman, Nathan SF18",,,,,LV
RB,28,"Jacobs, Josh 19/1",46,"Booker, Devontae U/Den",33,"Bowden Jr., Lynn 20/3",30,"Richard, Jalen CF16",34,"Smith, Rod SF19",LV
RB,,,,,,,,,40,"Stanback, William SF20",LV
FB,45,"Ingold, Alec CF19",,,,,,,,,LV
LWR,13,"Allen, Keenan 13/3",15,"Patton, Andre CF17",11,"Jennings, Darius R/Ten",84,"Hill, KJ 20/7",3,"Johnson, Tyron CF19",LAC
LWR,,,,,,,,,8,"Cotton, Jeff CF20",LAC
RWR,81,"Williams, Mike 17/1",12,"Reed, Joe 20/5",89,"Moore, Jason CF19",8,"Guyton, Jalen CF19",6,"Schoen, Dalton CF20",LAC
LT,75,"BULAGA, BRYAN U/GB",78,"Scott, Trent CF18",70,"St. Louis, Tyree CF19",,,,,LAC
LG,66,"Feeney, Dan 17/3",72,"Groy, Ryan SF19",74,"Norton, Storm SF20",62,"Dunlop, Josh CF20",,,LAC
C,53,"POUNCEY, MIKE CC/Mia",61,"Quessenberry, Scott 18/5",,,,,,,LAC
RG,70,"Turner, Trai T/Car",77,"Lamp, Forrest 17/2",63,"Gilliam, Nathan CF20",,,,,LAC
RT,69,"Tevi, Sam 17/6",79,"Pipkins, Trey 19/3",64,"Toner, Cole SF17",67,"Roberts, Ryan CF20",,,LAC
TE,86,"Henry, Hunter 16/2",88,"GREEN, VIRGIL U/Den",87,"Vollert, Andrew W/Cin",82,"Anderson, Stephen SF19",48,"Parham, Donald SF20",LAC
TE,,,,,,,,,40,"Rice, Jared CF20",LAC
QB,5,"TAYLOR, TYROD U/Cle",10,"Herbert, Justin 20/1",2,"Stick, Easton 19/5",,,,,LAC
RB,30,"Ekeler, Austin CF17",22,"Jackson, Justin 18/7",27,"Kelley, Joshua 20/4",34,"Bradwell, Darius CF20",41,"Holly, Bobby CF20",LAC
RB,,,,,,,38,"Gore, Derrick CF19",47,"Nabers, Gabe CF20",LAC
LWR,11,"FITZGERALD, LARRY 04/1",89,"Isabella, Andy 19/2",83,"Richardson, AJ CF19",84,"Leatherbury, Shane CF20",6,"Medaris, Rashad CF20",ARZ
RWR,10,"Hopkins, DeAndre T/Hou",16,"Sherfield, Trent CF18",17,"Butler, Hakeem 19/4",2,"Phelps, Devin CF20",17,"Braswell, Jermiah CF20",ARZ
SWR,13,"Kirk, Christian 18/2",19,"Johnson, KeeSean 19/6",10,"Dixon, Johnnie CF19",14,"Ward, JoJo CF20",,,ARZ
LT,74,"Humphries, DJ 15/1",66,"Miles, Joshua 19/7",78,"Toth, Brett W/Phi",62,"Dennis, Jackson CF20",,,ARZ
LG,67,"Pugh, Justin U/NYG",70,"Jones, Sam SF19",61,"Gonzalez, Steven CF20",,,,,ARZ
C,52,"Cole, Mason 18/3",65,"Gaillard, Lamont 19/6",,,,,,,ARZ
RG,64,"SWEEZY, JR U/Sea",73,"Garcia, Max U/Den",63,"Dickinson, Andrew CF20",,,,,ARZ
RT,76,"GILBERT, MARCUS T/Pit",79,"Jones, Josh 20/3",71,"Murray, Justin W/Oak",60,"Benzinger, Jake CF20",,,ARZ
TE,87,"Williams, Maxx U/Bal",81,"Daniels, Darrell W/Sea",82,"Arnold, Dan W/NO",00,"Cantrell, Dylan SF20",80,"Becker, Ryan CF20",ARZ
QB,1,"Murray, Kyler 19/1",7,"Hundley, Brett U/Sea",3,"Anderson, Drew CF19",15,"Streveler, Chris SF20",,,ARZ
RB,41,"Drake, Kenyan T/Mia",29,"Edmonds, Chase 18/4",26,"Benjamin, Eno 20/7",37,"Foster, DJ P/NE",38,"Ward, Jonathan CF20",ARZ
FB,86,"Houston, Parker CF20",,,,,,,,,ARZ
LWR,19,"Samuel, Deebo 19/2",84,"Bourne, Kendrick CF17",18,"Pettis, Dante 18/2",89,"Thompson, Chris SF19",1,"Poindexter, Shawn CF19",SF
LWR,,,,,,,,,81,"Jennings, Jauan 20/7",SF
RWR,11,"Aiyuk, Brandon 20/1",14,"Hurd, Jalen 19/3",13,"James, Richie 18/7",15,"Taylor, Trent 17/5",17,"BENJAMIN, TRAVIS U/LAC",SF
RWR,,,,,,,,,7,"Finke, Chris CF20",SF
LT,00,"WILLIAMS, TRENT T/Was",67,"Skule, Justin 19/6",68,"McKivitz, Colton 20/5",,,,,SF
LG,75,"Tomlinson, Laken T/Det",65,"Amichia, Kofi SF19",78,"Coleman, Shon T/Cle",,,,,SF
C,58,"Richburg, Weston U/NYG",63,"GARLAND, BEN U/Atl",64,"Brendel, Jake SF20",,,,,SF
RG,66,"COMPTON, TOM U/NYJ",76,"Reynolds, Ross CF19",,,,,,,SF
RT,69,"McGlinchey, Mike 18/1",60,"Brunskill, Daniel SF19",71,"Jones-Smith, Jaryd SF19",61,"Wester, Leonard SF20",,,SF
TE,85,"Kittle, George 17/5",82,"Dwelley, Ross CF18",43,"Helm, Daniel W/LAC",89,"Woerner, Charlie 20/6",83,"Harrell, Chase CF20",SF
QB,10,"Garoppolo, Jimmy T/NE",4,"Mullens, Nick CF17",3,"Beathard, CJ 17/3",5,"Rutter, Broc CF20",,,SF
RB,31,"Mostert, Raheem SF16",26,"Coleman, Tevin U/Atl",30,"Wilson, Jeffery CF18",28,"McKinnon, Jerick U/Min",38,"Hasty, JaMycal CF20",SF
RB,,,,,,,49,"Hokit, Josh CF20",35,"Ahmed, Salvon CF20",SF
FB,44,"Juszczyk, Kyle U/Bal",,,,,,,,,SF
LWR,14,"Metcalf, DK 19/2",83,"Moore, David 17/7",15,"Ursua, John 19/7",81,"Thompson, Cody CF19",2,"Fuller, Aaron CF20",SEA
RWR,16,"Lockett, Tyler 15/3",11,"Dorsett, Phillip U/NE",18,"Swain, Freddie 20/6",10,"Hart, Penny CF19",13,"Dawkins, Seth CF20",SEA
LT,76,"BROWN, DUANE T/Hou",73,"Jones, Jamarco 18/5",,,,,,,SEA
LG,77,"Pocic, Ethan 17/2",70,"IUPATI, MIKE U/Arz",61,"Fuller, Kyle SF19",65,"Warmack, Chance SF20",66,"Simmons, Jordan W/Oak",SEA
C,67,"Finney, BJ U/Pit",64,"Roos, Jordan CF17",53,"Hunt, Joey 16/6",,,,,SEA
RG,60,"Haynes, Phil 19/4",68,"Lewis, Damien 20/3",62,"McKenzie, Kahlil SF19",,,,,SEA
RT,74,"Ogbuehi, Cedric U/Jax",72,"Shell, Brandon U/NYJ",75,"Wheeler, Chad SF19",79,"Champion, Tommy CF20",,,SEA
TE,88,"OLSEN, GREG SF20",82,"WILLSON, LUKE 13/5",87,"Sullivan, Stephen 20/7",85,"Mabry, Tyler CF20",,,SEA
TE,88,"Dissly, Will 18/4",84,"Parkinson, Colby 20/4",48,"Hollister, Jacob T/NE",46,"Wood-Anderson, Dominick CF20",,,SEA
QB,3,"WILSON, RUSSELL 12/3",7,"Smith, Geno U/LAC",6,"Gordon, Anthony CF20",,,,,SEA
RB,32,"Carson, Chris 17/7",00,"Hyde, Carlos U/Hou",20,"Penny, Rashaad 18/1",25,"Homer, Travis 19/6",31,"Dallas, DeeJay 20/4",SEA
RB,,,,,,,39,"Carr, Patrick CF20",36,"Jones, Anthony CF20",SEA
FB,44,"BELLORE, NICK U/Det",,,,,,,,,SEA
LWR,18,"Kupp, Cooper 17/3",14,"Webster, Nsimba CF19",00,"Edwards, Earnest CF20",,,,,LAR
RWR,17,"Woods, Robert U/Buf",12,"Jefferson, Van 20/2",15,"Koski, JJ CF20",19,"Polk, Brandon CF20",,,LAR
SWR,83,"Reynolds, Josh 17/4",87,"Dortch, Greg CF19",83,"Jackson, Trishton CF20",4,"Winston Jr., Easop CF20",,,LAR
LT,77,"WHITWORTH, ANDREW U/Cin",67,"Brewer, Chandler CF19",,,,,,,LAR
LG,63,"Corbett, Austin T/Cle",70,"Noteboom, Joseph 18/3",64,"Demby, Jamil P/Det",,,,,LAR
C,55,"Allen, Brian 18/4",65,"Shelton, Coleman P/Arz",68,"Cabral, Cohl CF20",61,"Kolone, Jeremiah CF18",60,"Trewyn, Nate CF19",LAR
RG,66,"Blythe, Austin W/Ind",73,"Edwards, David 19/5",76,"Anchrum, Tremayne 20/7",,,,,LAR
RT,79,"Havenstein, Rob 15/2",71,"Evans, Bobby 19/3",,,,,,,LAR
TE,89,"Higbee, Tyler 16/4",81,"Everett, Gerald 17/2",88,"Hopkins, Brycen 20/4",82,"Mundt, Johnny CF17",86,"Blanton, Kendall CF19",LAR
TE,,,,,,,,,84,"Wolf, Ethan SF19",LAR
QB,16,"Goff, Jared 16/1",9,"Wolford, John SF19",5,"Perkins, Bryce CF20",2,"Love, Josh CF20",,,LAR
RB,34,"Brown, Malcolm CF15",27,"Henderson, Darrell 19/3",23,"Akers, Cam 20/2",42,"Kelly, John 18/6",49,"Gilbert, James CF20",LAR
RB,,,,,,,,,35,"Jones, Xavier CF20",LAR
LWR,15,"BROWN, JOHN U/Bal",82,"Williams, Duke SF19",3,"Davis, Gabriel 20/4",16,"Foster, Robert CF18",86,"Easley, Nick CF19",BUF
RWR,14,"Diggs, Stefon T/Min",19,"McKenzie, Isaiah W/Den",18,"ROBERTS, ANDRE U/NYJ",14,"McCloud, Ray-Ray 18/6",87,"Hodgins, Isaiah 20/6",BUF
SWR,10,"BEASLEY, COLE U/Dal",,,,,,,,,BUF
LT,73,"Dawkins, Dion 17/2",77,"NSEKHE, TY U/Was",71,"Bates, Ryan T/Phi",,,,,BUF
LG,67,"Spain, Quinton U/Ten",60,"Williams, Daryl U/Car",65,"Boettger, Ike W/KC",,,,,BUF
C,60,"Morse, Mitch U/KC",00,"Boehm, Evan U/Mia",,,,,,,BUF
RG,76,"Feliciano, Jon U/Oak",61,"Long, Spencer SF19",,,,,,,BUF
RT,70,"Ford, Cody 19/2",62,"Salako, Victor SF19",00,"McGhin, Garrett CF19",,,,,BUF
TE,88,"Knox, Dawson 19/3",81,"Kroft, Tyler U/Cin",85,"SMITH, LEE SF19",89,"Sweeney, Tommy 19/7",80,"Croom, Jason CF17",BUF
TE,,,,,,,,,84,"Becker, Nate CF19",BUF
QB,17,"Allen, Josh 18/1",5,"Barkley, Matt SF18",7,"Webb, Davis SF19",10,"Fromm, Jake 20/5",,,BUF
RB,26,"Singletary, Devin 19/3",22,"Yeldon, TJ U/Jax",20,"Moss, Zack 20/3",00,"JONES, TAIWAN U/Hou",45,"Wade, Christian EX",BUF
FB,42,"DIMARCO, PATRICK U/Atl",,,,,,,,,BUF
LWR,11,"Parker, DeVante 15/1",18,"Williams, Preston CF19",86,"Hollins, Mack W/Phi",00,"Cole, Matt CF20",,,MIA
RWR,17,"Hurns, Allen SF19",80,"Louis, Ricardo SF19",16,"Jennings, Gary W/Sea",,,,,MIA
SWR,15,"Wilson, Albert U/KC",84,"Ford, Isaiah 17/7",19,"Grant, Jakeem 16/6",00,"Merritt, Kirk CF20",,,MIA
LT,70,"Davenport, Julie'n T/Hou",00,"Jackson, Austin 20/1",,,,,,,MIA
LG,00,"Flowers, Ereck U/Was",00,"Kindley, Solomon 20/4",62,"Calhoun, Deion CF19",78,"Pankey, Adam W/GB",,,MIA
C,00,"Karras, Ted U/NE",74,"Sutherland, Keaton W/Cin",00,"Stanley, Donell CF20",,,,,MIA
RG,63,"Deiter, Michael 19/3",00,"Hunt, Robert 20/2",65,"Isidora, Danny T/Min",,,,,MIA
RT,77,"Davis, Jesse SF16",00,"Kaltmayer, Nick CF20",00,"Hubbard, Jonathan CF20",,,,,MIA
TE,88,"Gesicki, Mike 18/2",81,"Smythe, Durham 18/4",38,"Cox, Chandler 19/7",00,"Roberts, Michael SF20",85,"Myarick, Chris CF19",MIA
QB,14,"FITZPATRICK, RYAN U/TB",00,"Tagovailoa, Tua 20/1",3,"Rosen, Josh T/Arz",5,"Rudock, Jake SF19",,,MIA
RB,00,"Howard, Jordan U/Phi",27,"Ballage, Kalen 18/4",00,"Perry, Malcolm 20/7",34,"Turner, De'Lance P/Bal",,,MIA
RB,00,"Breida, Matt T/SF",37,"Gaskin, Myles 19/7",42,"Laird, Patrick CF19",,,,,MIA
FB,38,"Cox, Chandler 19/7",,,,,,,,,MIA
LWR,15,"Harry, N'Keal 19/1",00,"Byrd, Damiere U/Arz",00,"Lee, Marqise SF20",16,"Meyers, Jakobi CF19",10,"Adeboyejo, Quincy SF19",NE
RWR,11,"EDELMAN, JULIAN 09/7",14,"SANU, MOHAMED T/Atl",18,"SLATER, MATTHEW 08/5",80,"Olszewski, Gunner CF19",17,"Ross, Devin SF19",NE
LT,76,"Wynn, Isaiah 18/1",63,"Cajuste, Yodny 19/3",00,"Herron, Justin 20/6",,,,,NE
LG,62,"Thuney, Joe 16/3",65,"Eluemunor, Jermaine T/Bal",64,"Froholdt, Hjalte 19/4",,,,,NE
C,60,"Andrews, David CF15",00,"Woodard, Dustin 20/7",,,,,,,NE
RG,69,"Mason, Shaquille 15/4",00,"Onwenu, Michael 20/6",68,"Toran, Najee SF19",,,,,NE
RT,61,"CANNON, MARCUS 11/5",74,"Cunningham, Korey T/Arz",,,,,,,NE
TE,83,"LaCosse, Matt SF19",00,"Asiasi, Devin 20/3",00,"Keene, Dalton 20/3",85,"Izzo, Ryan 18/7",47,"Johnson, Jakob EX",NE
QB,4,"Stidham, Jarrett 19/4",00,"HOYER, BRIAN CC/Ind",,,,,,,NE
RB,26,"Michel, Sony 18/1",38,"BOLDEN, BRANDON U/Mia",37,"Harris, Damien 19/3",,,,,NE
RB,28,"White, James 14/4",34,"Burkhead, Rex U/Cin",00,"Vitale, Dan U/GB",,,,,NE
LWR,00,"Perriman, Breshad U/TB",00,"Doctson, Josh SF20",17,"Smith, Vyncint P/Hou",15,"BELLAMY, JOSH U/Chi",,,NYJ
RWR,81,"Enunwa, Quincy 14/6",00,"Mims, Denzel 20/2",83,"Malone, Josh SF19",00,"Hatcher, Keon SF19",00,"Chesson, Jehu SF20",NYJ
SWR,82,"Crowder, Jamison U/NYJ",10,"Berrios, Braxton W/NE",9,"Smith, Jeff CF19",,,,,NYJ
LT,00,"Becton, Mekhi 20/1",00,"Fant, George U/Sea",,,,,,,NYJ
LG,71,"Lewis, Alex T/Bal",00,"Clark, Cameron 20/4",69,"McDermott, Conor W/Buf",00,"Lundblade, Brad SF19",,,NYJ
C,00,"McGovern, Connor U/Den",78,"Harrison, Jonotthan SF17",63,"Koloamatangi, Leo SF19",61,"Murray, James SF19",,,NYJ
RG,67,"Winters, Brian 13/3",69,"Braden, Ben CF17",00,"Andrews, Josh U/Ind",,,,,NYJ
RT,75,"Edoga, Chuma 19/3",00,"VAN ROTEN, GREG U/Car",,,,,,,NYJ
TE,89,"Herndon IV, Christopher 18/4",84,"GRIFFIN, RYAN SF19",87,"Brown, Daniel U/Chi",00,"Travis, Ross W/Ind",,,NYJ
QB,14,"Darnold, Sam 18/1",5,"Fales, David SF19",00,"Morgan, James 20/4",5,"White, Mike SF19",,,NYJ
RB,26,"Bell, Le'Veon U/Pit",25,"Cannon, Trenton 18/6",00,"Perine, Lamical 20/4",38,"Dixon, Kenneth SF19",36,"Adams, Josh SF19",NYJ
FB,85,"Wesco, Trevon 19/4",,,,,,,30,"Moore, Jalin CF19",NYJ
LWR,13,"Gallup, Michael 18/3",15,"Smith, Devin SF19",85,"Brown, Noah 17/7",81,"Johnson, Jon'Vea CF19",,,DAL
RWR,19,"Cooper, Amari T/Oak",83,"Bryant, Ventell CF19",,,,,,,DAL
SWR,88,"Lamb, CeeDee 20/1",11,"Wilson, Cedrick 18/6",14,"Jones, Tevin SF19",,,,,DAL
LT,77,"Smith, Tyron 11/1",,,,,,,,,DAL
LG,52,"Williams, Connor 18/2",66,"McGovern, Connor 19/3",,,,,,,DAL
C,73,"Looney, Joe U/Ten",63,"Biadasz, Tyler 20/4",61,"Redmond, Adam W/Buf",62,"Henry, Marcus SF19",,,DAL
RG,70,"Martin, Zack 14/1",67,"Miller, Wyatt P/Cin",78,"Wichmann, Cody SF18",,,,,DAL
RT,71,"Collins, La'el CF15",69,"Knight, Brandon CF19",65,"Hyatt, Mitch CF19",,,,,DAL
TE,89,"Jarwin, Blake CF17",86,"Schultz, Dalton 18/4",80,"Bell, Blake U/KC",87,"Hikutini, Cole SF19",,,DAL
QB,4,"Prescott, Dak FP",7,"Rush, Cooper CF17",5,"Thorson, Clayton SF19",1,"DiNucci, Ben 20/7",,,DAL
RB,21,"Elliott, Ezekiel 16/1",20,"Pollard, Tony 19/4",46,"Chunn, Jordan CF18",,,,,DAL
FB,49,"OLAWALE, JAMIZE T/Oak",,,,,,,,,DAL
LWR,15,"TATE, GOLDEN U/Phi",86,"Slayton, Darius 19/5",5,"Scott, Da'Mari W/Buf",00,"Victor, Binjimen CF20",6,"Etta-Tawo, Amba SF19",NYG
LWR,,,,,,,84,"Sills V, David CF19",80,"Bachman, Alex CF19",NYG
RWR,87,"Shepard, Sterling 16/2",17,"Core, Cody W/Cin",19,"Coleman, Corey SF18",00,"Dillon, Derrick CF20",13,"White Jr., Reggie CF19",NYG
RWR,,,,,,,,,00,"Mack, Austin CF20",NYG
LT,76,"SOLDER, NATE U/NE",00,"Peart, Matt 20/3",62,"Slade, Chad SF19",68,"Wozniak, Nate SF19",,,NYG
LG,71,"Hernandez, Will 18/2",00,"Lemieux, Shane 20/5",,,,,,,NYG
C,77,"Pulley, Spencer W/LAC",,,,,,,,,NYG
RG,70,"ZEITLER, KEVIN T/CLE",00,"Murphy, Kyle CF20",,,,,,,NYG
RT,00,"Thomas, Andrew 20/1",75,"Fleming, Cameron U/Dal",65,"Gates, Nick CF18",79,"Smith, Eric W/NYJ",00,"Haycraft, Tyler CF20",NYG
TE,88,"Engram, Evan 17/1",85,"Toilolo, Levine U/SF",89,"Dickerson, Garrett CF18",,,,,NYG
TE,82,"Smith, Kaden W/SF",83,"Tomlinson, Eric U/LV",00,"Markway, Kyle CF20",,,,,NYG
QB,8,"Jones, Daniel 19/1",12,"MCCOY, COLT U/Was",3,"TANNEY, ALEX SF18",00,"Cookus, Case CF20",,,NYG
RB,26,"Barkley, Saquon 18/1",00,"Lewis, Dion CC/Ten",22,"Gallman, Wayne 17/4",28,"Hilliman, Jonathan CF19",00,"Leake, Javon CF20",NYG
FB,39,"Penny, Elijhaa P/Arz",45,"Aston, George CF19",,,,,,,NYG
LWR,17,"JEFFERY, ALSHON U/Chi",00,"Hightower, John 20/5",82,"Burnett, Deontay SF19",89,"Green, Marcus SF19",80,"Michel, Marken SF19",PHI
RWR,10,"JACKSON, DESEAN 08/2",19,"Arcega-Whiteside, JJ 19/2",83,"Gibson, Shelton P/Cle",84,"Ward Jr., Greg CF17",,,PHI
SWR,00,"Reagor, Jalen 20/1",00,"Goodwin, Marquise T/SF",00,"Watkins, Quez 20/6",14,"Davis, Robert SF19",6,"Cracraft, River SF19",PHI
LT,77,"Dillard, Andre 19/1",00,"Wanogho, Prince Tega 20/6",,,,,,,PHI
LG,73,"Seumalo, Isaac 16/3",69,"Pryor, Matt 18/6",78,"Opeta, Iosua CF19",,,,,PHI
C,62,"KELCE, JASON 11/6",67,"Herbig, Nate CF19",64,"Render, Keegan CF19",,,,,PHI
RG,79,"BROOKS, BRANDON U/Hou",00,"Driscoll, Jack 20/4",,,,,,,PHI
RT,65,"JOHNSON, LANE 13/1",68,"Mailata, Jordan 18/7",00,"Tucker, Casey W/Det",,,,,PHI
TE,86,"Ertz, Zach 13/2",88,"Goedert, Dallas 18/2",81,"Perkins, Joshua SF18",85,"Ellis, Alex SF19",,,PHI
QB,11,"Wentz, Carson 16/1",00,"Hurts, Jalen 20/2",7,"Sudfeld, Nate SF17",8,"Lauletta, Kyle SF19",,,PHI
RB,26,"Sanders, Miles 19/2",38,"Scott, Boston P/NO",30,"Clement, Corey CF17",33,"Holyfield, Elijah P/Car",,,PHI
LWR,17,"McLaurin, Terry 19/3",89,"Sims, Cam CF18",19,"Weah, Jester SF19",14,"Veasy, Jordan SF19",,,WAS
RWR,13,"Harmon, Kelvin 19/6",00,"Latimer, Cody U/NYG",10,"Gandy-Golden, Antonio 20/4",84,"Kidsy, Darvin CF18",,,WAS
SWR,18,"Quinn, Trey 18/7",15,"Sims Jr., Steven CF19",80,"Hall, Emanuel CF19",,,,,WAS
LT,00,"Lucas, Cornelius U/Chi",74,"Christian, Geron 18/3",,,,,,,WAS
LG,00,"Schweitzer, Wes U/Atl",77,"Charles, Saahdiq 20/4",00,"Vujnovich, Jeremy SF20",,,,,WAS
C,73,"Roullier, Chase 17/6",64,"Pierschbacher, Ross 19/5",60,"Ismael, Keith 20/5",,,,,WAS
RG,75,"Scherff, Brandon 15/1",67,"Martin, Wes 19/4",,,,,,,WAS
RT,76,"Moses, Morgan 14/3",61,"Parris, Timon CF18",79,"Adams, Paul CF19",,,,,WAS
TE,87,"Sprinkle, Jeremy 17/5",00,"Rodgers, Richard U/Phi",00,"Thomas, Logan U/Det",88,"Hentges, Hale W/Ind",85,"Baugh, Marcus SF20",WAS
TE,,,,,,,,,83,"Wilson, Caleb P/Arz",WAS
QB,7,"Haskins, Dwayne 19/1",00,"Allen, Kyle T/Car",11,"SMITH, ALEX T/KC",,,,,WAS
RB,26,"PETERSON, ADRIAN SF18",29,"Guice, Derrius 18/2",24,"Gibson, Antonio 20/3",23,"Love, Bryce 19/4",00,"Barber, Peyton U/TB",WAS
RB,,,,,,,40,"Ferguson, Josh SF19",00,"McKissic, JD U/Det",WAS
LWR,15,"Brown, Marquise 19/1",83,"Snead, Willie E/NO",12,"Scott, Jaleel 18/4",84,"Thomas, De'Anthony SF19",00,"Proche, James 20/6",BAL
RWR,80,"Boykin, Miles 19/3",10,"Moore, Chris 16/4",00,"Duvernay, Devin 20/3",14,"Modster, Sean CF19",84,"Wesley, Antoine CF19",BAL
LT,79,"Stanley, Ronnie 16/1",66,"Holden, Will SF19",,,,,,,BAL
LG,77,"Bozeman, Bradley 18/6",00,"Phillips, Tyre 20/3",,,,,,,BAL
C,68,"Skura, Matt CF16",65,"Mekari, Patrick CF19",,,,,,,BAL
RG,72,"Powers, Ben 19/4",00,"Bredeson, Ben 20/4",61,"Prince, RJ SF19",,,,,BAL
RT,78,"Brown, Orlando 18/3",76,"SMITH, ANDRE SF19",60,"Crecelius, Randin CF18",,,,,BAL
TE,86,"Boyle, Nick 15/5",89,"Andrews, Mark 18/3",85,"Scarff, Charles CF19",,,,,BAL
QB,8,"Jackson, Lamar 18/1",3,"GRIFFIN III, ROBERT SF18",7,"McSorley, Trace 19/6",,,,,BAL
RB,21,"INGRAM, MARK U/NO",00,"Dobbins, JK 20/2",35,"Edwards, Gus CF18",43,"Hill, Justice 19/4",,,BAL
FB,42,"Ricard, Patrick CF17",,,,,,,,,BAL
LWR,18,"GREEN, AJ FP",19,"Tate, Auden 18/7",17,"Morgan Jr., Stanley CF19",16,"Irwin, Trenton CF19",8,"Washington, Scotty CF20",CIN
RWR,85,"Higgins, Tee 20/2",11,"Ross III, John 17/1",80,"Thomas, Mike U/LAR",15,"Willis, Damion CF19",,,CIN
SWR,83,"Boyd, Tyler 16/2",12,"Erickson, Alex CF16",18,"Lodge, DaMarkus CF19",,,,,CIN
LT,73,"Williams, Jonah 19/1",74,"Johnson, Fred W/Pit",77,"Adeniji, Hakeem 20/6",,,,,CIN
LG,60,"Jordan, Michael 19/4",53,"Price, Billy 18/1",62,"Redmond, Alex CF16",,,,,CIN
C,66,"Hopkins, Trey CF14",53,"Price, Billy 18/1",,,,,,,CIN
RG,00,"Su'a-Filo, Xavier U/Dal",70,"Dugas, O'Shea CF19",00,"Cordasco, Clay CF20",,,,,CIN
RT,68,"Hart, Bobby SF18",71,"Prince, Isaiah W/Mia",00,"Knipfel, Josh CF20",,,,,CIN
TE,89,"Sample, Drew 19/2",87,"Uzomah, CJ 15/5",82,"Carter, Cethan CF17",86,"Schreck, Mason 17/7",49,"Boehringer, Moritz SF18",CIN
TE,,,,,,,84,"Wilcox, Mitchell CF20",88,"Franks, Jordan CF18",CIN
QB,9,"Burrow, Joe 20/1",5,"Finley, Ryan 19/4",7,"Dolegala, Jacob CF19",,,,,CIN
RB,28,"Mixon, Joe 17/2",25,"Bernard, Giovani 13/2",32,"Williams, Trayveon 19/6",33,"Anderson, Rodney 19/6",00,"Perine, Samaje W/Mia",CIN
RB,,,,,,,31,"Patrick, Jacques SF20",35,"Whaley, Devwah CF20",CIN
LWR,80,"Landry, Jarvis T/Mia",12,"Hodge, KhaDarel W/LAR",18,"Ratley, Damion 18/6",11,"Peoples-Jones, Donovan 20/6",15,"Montgomery, DJ CF19",CLE
RWR,13,"Beckham Jr., Odell T/NYG",10,"Taylor, Taywan T/Ten",16,"Moore, J'Mon SF19",00,"Natson, JoJo SF20",,,CLE
LT,71,"Wills Jr., Jedrick 20/1",74,"Hubbard, Chris U/Pit",,,,,,,CLE
LG,75,"Bitonio, Joel 14/2",62,"Pridgeon, Malcolm CF19",71,"Gossett, Colby SF19",,,,,CLE
C,64,"Tretter, JC U/GB",00,"Harris, Nick 20/5",00,"Brown, Evan SF20",,,,,CLE
RG,77,"Teller, Wyatt T/Buf",79,"Forbes, Drew 19/6",66,"Wright, Willie CF19",,,,,CLE
RT,00,"Conklin, Jack U/Ten",74,"Hubbard, Chris U/Pit",70,"Lamm, Kendall U/Hou",,,,,CLE
TE,85,"Njoku, David 17/1",86,"Brown, Pharaoh SF18",89,"Carlson, Stephen CF19",,,,,CLE
TE,00,"Hooper, Austin U/Atl",00,"Bryant, Harrison 20/4",,,,,,,CLE
QB,6,"Mayfield, Baker 18/1",00,"KEENUM, CASE U/Was",3,"Gilbert, Garrett SF19",,,,,CLE
RB,24,"Chubb, Nick 18/2",25,"Hilliard, Dontrell CF18",00,"Stanton, Johnny SF20",,,,,CLE
RB,27,"Hunt, Kareem SF19",30,"Johnson, D'Ernest SF19",,,,,,,CLE
FB,00,"Janovich, Andy T/Den",,,,,,,,,CLE
LWR,19,"Smith-Schuster, JuJu 17/2",18,"Johnson, Diontae 19/3",82,"Darboh, Amara SF19",15,"Henderson, Quadree CF18",,,PIT
RWR,13,"Washington, James 18/2",00,"Claypool, Chase 20/2",00,"Johnson, Anthony CF19",00,"Blacknall, Saeed SF20",,,PIT
SWR,17,"Cain, Deon P/Ind",10,"Switzer, Ryan T/Oak",,,,,,,PIT
LT,78,"VILLANUEVA, ALEJANDRO SF14",76,"Okorafor, Chukwuma 18/3",00,"Jones, Jarron SF20",,,,,PIT
LG,00,"WISNIEWSKI, STEFEN U/KC",77,"Gray, Derwin 19/7",,,,,,,PIT
C,53,"POUNCEY, MAURKICE 10/1",60,"Hassenauer, JC SF19",00,"Keenoy, John SF20",00,"Montano, Christian CF20",,,PIT
RG,66,"DECASTRO, DAVID 12/1",72,"Banner, Zach SF18",00,"Dotson, Kevin 20/4",,,,,PIT
